,finalist,variable,value
188,Dearis Doll_THI_1_REG,2,2.0
189,The Vivienne_UK_1_REG,2,3.0
190,Divina de Campo_UK_1_REG,2,2.0
191,Baga Chipz_UK_1_REG,2,5.0
192,Bebe Zahara Benet_US_1_REG,2,2.0
193,Nina Flowers_US_1_REG,2,3.0
194,Rebbeca Glasscock_US_1_REG,2,3.0
195,Aquaria_US_10_REG,2,2.0
196,Eureka_US_10_REG,2,0.0
197,Kameron Michaels_US_10_REG,2,3.0
198,Asia O'Hara_US_10_REG,2,2.0
199,Yvie Oddly_US_11_REG,2,5.0
200,Brooke Lynn Hytes_US_11_REG,2,1.0
201,A'keria Davenport_US_11_REG,2,2.0
202,Silky Nutmeg Ganache_US_11_REG,2,2.0
203,Jaida Essence Hall_US_12_REG,2,5.0
204,Crystal Methyd_US_12_REG,2,
205,Gigi Goode_US_12_REG,2,
206,Symone_US_13_REG,2,5.0
207,Kandy Muse_US_13_REG,2,1.0
208,Gottmik_US_13_REG,2,1.0
209,Rose_US_13_REG,2,
210,Angele Anang_THI_2_REG,2,2.0
211,Kana Warrior_THI_2_REG,2,2.0
212,Kandy Zyanide_THI_2_REG,2,2.0
213,Lawrence Chaney_UK_2_REG,2,1.0
214,Bimini Bon Boulash_UK_2_REG,2,2.0
215,Tayce_UK_2_REG,2,0.0
216,Ellie Diamond_UK_2_REG,2,3.0
217,Tyra Sanchez_US_2_REG,2,3.0
218,Raven_US_2_REG,2,0.0
219,Jujubee_US_2_REG,2,3.0
220,Raja_US_3_REG,2,1.0
221,Manila Luzon_US_3_REG,2,2.0
222,Alexis Mateo_US_3_REG,2,5.0
223,Sharon Needles_US_4_REG,2,3.0
224,Chad Michaels_US_4_REG,2,5.0
225,Phi Phi O'Hara_US_4_REG,2,2.0
226,Jinkx Monsoon_US_5_REG,2,2.0
227,Alaska_US_5_REG,2,2.0
228,Roxxxy Andrews_US_5_REG,2,2.0
229,Bianca Del Rio_US_6_REG,2,5.0
230,Adore Delano_US_6_REG,2,
231,Courtney Act_US_6_REG,2,2.0
232,Violet Chachki_US_7_REG,2,3.0
233,Ginger Minj_US_7_REG,2,5.0
234,Pearl_US_7_REG,2,2.0
235,Bob the Drag Queen_US_8_REG,2,2.0
236,Kim Chi_US_8_REG,2,3.0
237,Naomi Smalls_US_8_REG,2,2.0
238,Sasha Velour_US_9_REG,2,2.0
239,Peppermint_US_9_REG,2,2.0
240,Shea Coulee_US_9_REG,2,3.0
241,Trinity the Tuck_US_9_REG,2,3.0
242,Kita Mean_AUS_1_REG,2,3.0
243,Art Simone_AUS_1_REG,2,0.0
