,season,country,format,w/r/e,queen,score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,code,finalist
87,1,ESP,REG,W,Carmen Farala,24.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,,,,,,,,ESP_1_REG,Carmen Farala_ESP_1_REG
88,1,ESP,REG,R,Killer Queen,14.0,2.0,2.0,2.0,5.0,0.0,3.0,0.0,,,,,,,,ESP_1_REG,Killer Queen_ESP_1_REG
89,1,ESP,REG,R,Sagittaria,15.0,3.0,2.0,5.0,3.0,2.0,0.0,0.0,,,,,,,,ESP_1_REG,Sagittaria_ESP_1_REG
90,1,ESP,REG,E,Pupi Poisson,16.0,1.0,3.0,3.0,3.0,5.0,1.0,0.0,,,,,,,,ESP_1_REG,Pupi Poisson_ESP_1_REG
91,6,US,AS,W,Kylie Sonique Love,24.0,2.0,3.0,2.0,2.0,0.0,5.0,3.0,3.0,1.0,,3.0,,,,US_6_AS,Kylie Sonique Love_US_6_AS
92,6,US,AS,R,Ginger Minj,26.0,2.0,2.0,0.0,1.0,5.0,3.0,2.0,5.0,3.0,,3.0,,,,US_6_AS,Ginger Minj_US_6_AS
93,6,US,AS,R,Ra'jah O'Hara,26.0,3.0,5.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,,2.0,,,,US_6_AS,Ra'jah O'Hara_US_6_AS
94,6,US,AS,R,Eureka,28.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,5.0,5.0,,,,US_6_AS,Eureka_US_6_AS
95,2,HOL,REG,W,Vanessa Van Cartier,16.0,3.0,2.0,2.0,1.0,5.0,1.0,2.0,,,,,,,,HOL_2_REG,Vanessa Van Cartier_HOL_2_REG
96,2,HOL,REG,R,My Little Puny,20.0,3.0,2.0,2.0,5.0,0.0,3.0,5.0,,,,,,,,HOL_2_REG,My Little Puny_HOL_2_REG
97,2,HOL,REG,E,Vivaldi,16.0,3.0,3.0,5.0,2.0,3.0,0.0,0.0,,,,,,,,HOL_2_REG,Vivaldi_HOL_2_REG
98,3,UK,REG,R,Ella Vaday,32.0,2.0,2.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,,,,,,UK_3_REG,Ella Vaday_UK_3_REG
99,3,UK,REG,R,Kitty Scott-Claus,27.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,3.0,,,,,,UK_3_REG,Kitty Scott-Claus_UK_3_REG
100,3,UK,REG,W,Krystal Versace,24.0,5.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,,,,,,UK_3_REG,Krystal Versace_UK_3_REG
101,2,CAN,REG,W,Icesis Couture,22.0,5.0,0.0,2.0,2.0,3.0,5.0,3.0,0.0,2.0,,,,,,CAN_2_REG,Icesis Couture_CAN_2_REG
102,2,CAN,REG,R,Kendall Gender,17.0,2.0,3.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,,,,,,CAN_2_REG,Kendall Gender_CAN_2_REG
103,2,CAN,REG,R,Pythia,27.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,,,,,,CAN_2_REG,Pythia_CAN_2_REG
104,1,ITA,REG,R,Farida Kant,16.0,5.0,2.0,2.0,2.0,5.0,,,,,,,,,,ITA_1_REG,Farida Kant_ITA_1_REG
105,1,ITA,REG,W,Elecktra Bionic,11.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,ITA_1_REG,Elecktra Bionic_ITA_1_REG
106,1,ITA,REG,R,Le Riche,8.0,2.0,0.0,0.0,5.0,1.0,,,,,,,,,,ITA_1_REG,Le Riche_ITA_1_REG
107,1,ITA,REG,E,Luquisha Lubamba,7.0,0.0,1.0,3.0,3.0,0.0,,,,,,,,,,ITA_1_REG,Luquisha Lubamba_ITA_1_REG
108,1,UK,WORLD,W,Blu Hydrangea,12.0,3.0,2.0,2.0,5.0,0.0,,,,,,,,,,UK_1_WORLD,Blu Hydrangea_UK_1_WORLD
109,1,UK,WORLD,R,Mo Heart,10.0,2.0,3.0,1.0,0.0,4.0,,,,,,,,,,UK_1_WORLD,Mo Heart_UK_1_WORLD
110,1,UK,WORLD,E,Baga Chipz,11.0,3.0,2.0,2.0,4.0,0.0,,,,,,,,,,UK_1_WORLD,Baga Chipz_UK_1_WORLD
111,1,UK,WORLD,E,Jujubee,7.0,2.0,0.0,0.0,0.0,5.0,,,,,,,,,,UK_1_WORLD,Jujubee_UK_1_WORLD
112,14,US,REG,E,Angeria Paris VanMichaels,33.0,,5.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,US_14_REG,Angeria Paris VanMichaels_US_14_REG
113,14,US,REG,E,Bosco,32.0,3.0,,2.0,2.0,5.0,2.0,3.0,2.0,5.0,0.0,2.0,0.0,5.0,1.0,US_14_REG,Bosco_US_14_REG
114,14,US,REG,E,Daya Betty,26.0,,0.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,0.0,2.0,3.0,0.0,3.0,US_14_REG,Daya Betty_US_14_REG
115,14,US,REG,R,Lady Camden,35.0,,3.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,2.0,5.0,2.0,5.0,US_14_REG,Lady Camden_US_14_REG
116,14,US,REG,W,Willow Pill,31.0,3.0,,5.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,0.0,US_14_REG,Willow Pill_US_14_REG
117,2,ESP,REG,R,Estrella Xtravaganza,21.0,2.0,2.0,3.0,5.0,2.0,0.0,5.0,2.0,0.0,,,,,,ESP_2_REG,Estrella Xtravaganza_ESP_2_REG
118,2,ESP,REG,W,Sharonne,32.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,,,,,,ESP_2_REG,Sharonne_ESP_2_REG
119,2,ESP,REG,R,Venedita Von Dash,25.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,0.0,5.0,,,,,,ESP_2_REG,Venedita Von Dash_ESP_2_REG
120,2,ESP,REG,E,Marina,18.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,5.0,0.0,,,,,,ESP_2_REG,Marina_ESP_2_REG
121,7,US,AS,W,Jinkx Monsoon,35.0,2.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,US_7_AS,Jinkx Monsoon_US_7_AS
122,7,US,AS,R,Monet X Change,33.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,,,,US_7_AS,Monet X Change_US_7_AS
123,7,US,AS,E,Shea Coulee,33.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,US_7_AS,Shea Coulee_US_7_AS
124,7,US,AS,E,Trinity the Tuck,33.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,2.0,,,,US_7_AS,Trinity the Tuck_US_7_AS
125,1,FRA,REG,W,Paloma,20.0,2.0,5.0,3.0,3.0,0.0,5.0,2.0,,,,,,,,FRA_1_REG,Paloma_FRA_1_REG
126,1,FRA,REG,R,La Grande Dame,18.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,,,,,,,,FRA_1_REG,La Grande Dame_FRA_1_REG
127,1,FRA,REG,R,Soa de Muse,18.0,5.0,0.0,0.0,3.0,5.0,3.0,2.0,,,,,,,,FRA_1_REG,Soa de Muse_FRA_1_REG
128,1,FRA,REG,E,Lolita Banana,11.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,,,,,,,,FRA_1_REG,Lolita Banana_FRA_1_REG
129,3,CAN,REG,W,Gisele Lullaby,20.0,2.0,2.0,2.0,5.0,5.0,1.0,0.0,3.0,,,,,,,CAN_3_REG,Gisele Lullaby_CAN_3_REG
130,3,CAN,REG,R,Jada Shada Hudson,16.0,3.0,0.0,5.0,0.0,2.0,3.0,1.0,2.0,,,,,,,CAN_3_REG,Jada Shada Hudson_CAN_3_REG
131,3,CAN,REG,E,Kimmy Couture,18.0,2.0,5.0,3.0,3.0,0.0,2.0,3.0,0.0,,,,,,,CAN_3_REG,Kimmy Couture_CAN_3_REG
132,3,CAN,REG,E,Miss Fiercalicious,21.0,1.0,3.0,0.0,2.0,2.0,5.0,3.0,5.0,,,,,,,CAN_3_REG,Miss Fiercalicious_CAN_3_REG
133,2,AUS,REG,R,Hanna Conda,23.0,3.0,3.0,2.0,5.0,5.0,5.0,0.0,,,,,,,,AUS_2_REG,Hanna Conda_AUS_2_REG
134,2,AUS,REG,R,Kween Kong,15.0,1.0,0.0,2.0,2.0,5.0,0.0,5.0,,,,,,,,AUS_2_REG,Kween Kong_AUS_2_REG
135,2,AUS,REG,W,Spankie Jackzon,24.0,0.0,5.0,5.0,3.0,5.0,3.0,3.0,,,,,,,,AUS_2_REG,Spankie Jackzon_AUS_2_REG
136,1,PH,REG,E,Eva Le Queen,21.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,,,,,,PH_1_REG,Eva Le Queen_PH_1_REG
137,1,PH,REG,R,Marina Summers,28.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,5.0,,,,,,PH_1_REG,Marina Summers_PH_1_REG
138,1,PH,REG,W,Precious Paula Nicole,24.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,,,,,,PH_1_REG,Precious Paula Nicole_PH_1_REG
139,1,PH,REG,E,Xilhouete,22.0,1.0,2.0,0.0,3.0,3.0,5.0,3.0,5.0,0.0,,,,,,PH_1_REG,Xilhouete_PH_1_REG
140,4,UK,REG,E,Black Peppa,13.0,5.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,,,,,,UK_4_REG,Black Peppa_UK_4_REG
141,4,UK,REG,R,Cheddar Gorgeous,29.0,2.0,5.0,1.0,3.0,2.0,5.0,5.0,5.0,1.0,,,,,,UK_4_REG,Cheddar Gorgeous_UK_4_REG
142,4,UK,REG,W,Danny Beard,32.0,2.0,5.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,,,,,,UK_4_REG,Danny Beard_UK_4_REG
143,4,UK,REG,E,Jonbers Blonde,15.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,,,,,,UK_4_REG,Jonbers Blonde_UK_4_REG
144,2,ITA,REG,W,La Diamond,26.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,,,,,,,,ITA_2_REG,La Diamond_ITA_2_REG
145,2,ITA,REG,R,Aura Etherial,17.0,1.0,5.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,ITA_2_REG,Aura Etherial_ITA_2_REG
146,2,ITA,REG,R,Nehllenia,19.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,,,,,,,,ITA_2_REG,Nehllenia_ITA_2_REG
147,1,CAN,WORLD,W,Ra'jah O'Hara,11.0,3.0,4.0,2.0,0.0,2.0,,,,,,,,,,CAN_1_WORLD,Ra'jah O'Hara_CAN_1_WORLD
148,1,CAN,WORLD,E,Rita Baga,13.0,4.0,2.0,0.0,2.0,5.0,,,,,,,,,,CAN_1_WORLD,Rita Baga_CAN_1_WORLD
149,1,CAN,WORLD,R,Silky Nutmeg Ganache,12.0,2.0,1.0,5.0,4.0,0.0,,,,,,,,,,CAN_1_WORLD,Silky Nutmeg Ganache_CAN_1_WORLD
150,1,CAN,WORLD,E,Victoria Scone,18.0,2.0,3.0,4.0,5.0,4.0,,,,,,,,,,CAN_1_WORLD,Victoria Scone_CAN_1_WORLD
151,15,US,REG,R,Anetra,30.0,5.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,,US_15_REG,Anetra_US_15_REG
152,15,US,REG,E,Luxx Noir London,34.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,0.0,3.0,,US_15_REG,Luxx Noir London_US_15_REG
153,15,US,REG,E,Mistress Isabelle Brookes,32.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,,US_15_REG,Mistress Isabelle Brookes_US_15_REG
154,15,US,REG,W,Sasha Colby,41.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,3.0,3.0,5.0,,US_15_REG,Sasha Colby_US_15_REG
155,1,BEL,REG,R,Athena Sorgelikis,17.0,5.0,2.0,2.0,2.0,1.0,5.0,0.0,,,,,,,,BEL_1_REG,Athena Sorgelikis_BEL_1_REG
