Rank WRE,Rank,Country,Season,Code,W/R/E,Queen,Z-Score,Percent,Score,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean: 3.11,,Bttm,Low,Safe,High,SWin,Win,LSA,T,,,
49,57,THI,S2,THI_S2,W,Angele Anang,0.72,54.55%,6,11,1.5,0,0,1.5,1.5,1.5,1.5,1.5,-2,1,-2,,,,,,,2,0,2,1,6,0,,,--,"1,167",39
110,149,THI,S2,THI_S2,R,Kana Warrior,-1.76,-44.44%,-4,9,0,0,-2,-2,-2,,,1,-2,1.5,1.5,,,,,,,4,0,2,1,2,0,LSA,3,--,400,130
33,44,THI,S2,THI_S2,R,Kandy Zyanide,0.47,62.50%,5,8,1,0,0,-2,,,,1,2,1.5,1.5,,,,,,,1,0,2,2,2,1,,,--,"1,181",26
46,53,UK,S2,UK_S2,W,Lawrence Chaney,0.47,55.56%,5,9,1,-1,2,2,2,-2,-1,1,1,,,,,,,,,1,2,0,3,0,3,,,--,"1,168",35
14,17,UK,S2,UK_S2,R,Bimini Bon Boulash,1.21,88.89%,8,9,-2,0,1,1,2,2,0,2,2,,,,,,,,,1,0,2,2,0,4,,,--,"1,207",8
114,151,UK,S2,UK_S2,R,Tayce,-2.01,-55.56%,-5,9,0,-2,0,0,2,1,-2,-2,-2,,,,,,,,,4,0,3,1,0,1,LSA,3,--,389,132
42,123,UK,S2,UK_S2,E,Ellie Diamond,-0.77,0.00%,0,9,1,1,0,0,0,0,1,-1,-2,,,,,,,,,1,1,4,3,0,0,,,--,450,104
18,8,US,S2,US_S2,W,Tyra Sanchez,1.46,100.00%,9,9,1,1,2,0,2,-1,1,1,2,,,,,,,,,0,1,1,4,0,3,,,--,"1,220",1
58,82,US,S2,US_S2,R,Raven,-0.03,33.33%,3,9,0,-2,-2,0,1,1,2,2,1,,,,,,,,,2,0,2,3,0,2,,,--,"1,116",64
63,149,US,S2,US_S2,E,Jujubee,-1.76,-44.44%,-4,9,0,1,0,-1,1,-2,1,-2,-2,,,,,,,,,3,1,2,3,0,0,LSA,2,--,400,130
